1,14589;1,1457;1,14665;1,14601
1,14043;1,13669;1,14049;1,1371
1,1371;1,13578;1,13746;1,13601
1,13601;1,13422;1,13689;1,13529
1,1353;1,1348;1,13614;1,13558
1,13557;1,13311;1,13561;1,13346
1,13345;1,13262;1,13356;1,13273
1,13272;1,13245;1,13434;1,13429
1,13432;1,13398;1,1347;1,13448
1,13449;1,13394;1,1347;1,13437
1,13435;1,13084;1,13526;1,1335
1,1335;1,13084;1,13501;1,13116
1,13116;1,13095;1,13459;1,13391
1,13391;1,13391;1,13519;1,13478
1,13477;1,13453;1,13608;1,13575
1,13576;1,13561;1,13709;1,13645
1,13645;1,13598;1,13672;1,13666
1,13666;1,13564;1,13691;1,13602
1,13603;1,13541;1,13759;1,13716
1,13716;1,1361;1,13761;1,13685
1,13688;1,13539;1,1383;1,13793
1,13793;1,13723;1,13834;1,13751
1,13751;1,13628;1,13787;1,13676
1,13676;1,13397;1,1371;1,13408
1,13408;1,1339;1,13547;1,13429
1,13428;1,13368;1,13663;1,13648
1,13648;1,13607;1,13717;1,13632
1,13646;1,13646;1,14087;1,13924
1,13924;1,13862;1,14103;1,13976
1,13976;1,13925;1,14051;1,1398
1,1398;1,13957;1,14061;1,14
1,14;1,1383;1,14032;1,13911
1,13911;1,13892;1,14009;1,13975
1,13976;1,13918;1,1399;1,13918
1,13918;1,13867;1,13983;1,13928
1,13928;1,13891;1,13958;1,13894
1,13895;1,13887;1,14049;1,14047
1,14047;1,14022;1,14112;1,14034
1,14034;1,13968;1,14071;1,13971
1,13971;1,13875;1,13981;1,13973
1,13974;1,13895;1,1398;1,13936
1,13935;1,13887;1,13976;1,13894
1,13894;1,13827;1,13934;1,13926
1,13928;1,13915;1,14093;1,14071
1,14071;1,14015;1,14161;1,14074
1,14074;1,14019;1,14185;1,14026
1,14026;1,13946;1,1408;1,14033
1,14034;1,14023;1,14149;1,1411
1,14109;1,1404;1,14134;1,14051
1,14052;1,13623;1,14072;1,13707
1,13708;1,13455;1,13722;1,1353
1,1353;1,13455;1,14103;1,14098
1,14098;1,13989;1,14171;1,14082
1,14081;1,13926;1,14111;1,14047
1,14047;1,14018;1,14101;1,14034
1,14033;1,13934;1,14033;1,13994
1,13995;1,13952;1,14038;1,14019
1,1402;1,13925;1,14027;1,13925
1,13923;1,13923;1,14061;1,14042
1,14043;1,14043;1,14124;1,14096
1,14097;1,1404;1,14128;1,14086
1,14088;1,14074;1,14224;1,14206
1,14206;1,14166;1,14217;1,14196
1,14195;1,14156;1,14249;1,1422
1,14222;1,14196;1,14294;1,14196
1,14197;1,14194;1,14242;1,14227
1,14228;1,14136;1,14267;1,14159
1,14161;1,14095;1,14383;1,14356
1,14359;1,14274;1,14395;1,14308
1,14307;1,14287;1,14472;1,14406
1,14407;1,14344;1,14446;1,14381
1,1438;1,14328;1,14435;1,14399
1,14398;1,1436;1,14467;1,14391
1,14386;1,14386;1,14584;1,14571
